Date,User_ID,Location,Text
2020-05-4,ArbiterAnubis,Valley of the Dead,"What is sadly entertaining about this is many of Trump's followers believe in the #WhiteSupremacist delusion of #WhiteGenocide

Ironically, they're the ones wiping themselves out as they cling unto their perverted #AntiScience view of the world

#COVID19 #TrumpInAZ https://t.co/TKToNdPBxT"
2020-05-4,rajeshkshitij,hyderabad,"#WestBengal - 445 new #COVID19 positive cases &amp; 11 deaths reported in state in the last 24 hours. Now total no. of cases in state rises to 15,173 including 9,702 Discharged, 4,880 Active cases &amp; 591 Fatalities - State Health Dept
#coronavirus @News18MP @News18CG"
2020-05-4,Qalb2Abbas,"Karachi, Pakistan",Very thoughtful and informative thread on antibody response in covid19 effected patients. #COVID19 https://t.co/4f2lm08A5I
2020-05-4,diveproafrica,"Diani Beach, Kenya ",Recreational Scuba Training Council has released a new diving medical #COVID19 #scubadiving #padi #safety #adventure #scuba #dan #trainings #diving #released #release #scubatraining #scubadiver #divessi #StaySafe #scuba #diver @PADI @DANGlobalSafety @NAUIWorldwide @diveSSI
2020-05-4,ReformAustin,"Texas, USA",.@bastaaustin's Eviction Solidarity Network has been tracking evictions in Travis County this year. Here is their dashboard: https://t.co/rquvRKwKu7 #COVID19 #coronavirus #txlege 1/
2020-05-4,ckkoduri,"Hyderabad, India",What is winning against #COVID19 ? Would we define it with people who are already dead or who will die soon or do we talk it in terms of preventive health systems we can secure? https://t.co/Sk3NquJI7P
2020-05-4,jamesvgingerich,"Waterloo, Ontario Canada",#CoronaVirus: Investing in black lives and livelihoods. (McKinsey)  #COVIDー19 #COVID19 #CoronaVirusOutbreak #CoronaVirusPandemic https://t.co/IsRcFFuOzS https://t.co/FZsAYMbboE
2020-05-4,AshAldridge22,,Will my results be added to the next cycle? I had #COVID19 testing done yesterday. Going to an AL funeral with a mask on last week may not have done me any good since the rest of my family chose not to #MaskUp https://t.co/0arpR72BmO
2020-05-4,Melissa_Wasser,202 || 330,"🚨 I'll be testifying tomorrow at 9am on behalf of @rcfp in front of the @HouseJudiciary Subcommittee on Courts, Intellectual Property, and the Internet. Come hear me talk about #SCOTUS and increasing federal court access during #COVID19 and beyond! https://t.co/aWSKVzOJv3"
2020-05-4,HPeremen,"Doral, FL","Well, @realDonaldTrump finally got his wall... to lock us in from the world.
#TrumpResignNow #COVID19
#TrumpRecession #TrumpResign

EU Could Bar U.S. Travelers Due To Ongoing Rise In COVID-19 Cases https://t.co/kP4IYdJn6I"
2020-05-4,Della807,,"Fact check: Trump claimed he was left 'no ventilators.' His administration just confirmed he had more than 16,000
#COVID19
https://t.co/8Vbvd02tt9"
2020-05-4,esta_mediaa,,"The ministry of health says twenty-seven patients have also recovered in the past 24 hours #Esta #Kurdistan #Iraq #TwitterKurds #coronavirus 

https://t.co/sOqGbYMv56"
2020-05-4,OrriynVarek,,"@RonDeSantisFL realized that straight up and down still counts as flat. Not how I'd #FlattenTheCurve, but I respect the outside the box thinking Ron.  

#COVID19 #Coronavirus https://t.co/NFqw78WrVG"
2020-05-4,appcsocialmedia,"Islamabad, Pakistan","#Coronavirus crisis slowing global education rate: #UNESCO 

#APPNews 

#COVID__19 #COVID19 #Corona @UNESCO 

https://t.co/m9VKq5BEU6 via @Associated Press Of Pakistan https://t.co/IxZbWRrdEc"
2020-05-4,kr3at,,"Ohio reports 4 new cases bringing total confirmed cases there to 46,188 and 2,740 total deaths.

#CoronaVirus #Covid19 #CoronaVirusOutbreak"
2020-05-4,TonyAntoniou3,United Kingdom,"@piersmorgan How can #russia have well over 606,000 #coronavirus cases with just 8,513 deaths. UK Half the cases 306, 962 with 43,000 deaths. Our @NHSuk is the best so it must be Russia not declaring all the death numbers. WHY DONT YOU COMMENT ON THAT @GMB"
2020-05-4,trudygonzales,,"President Donald Trump failed us
He ignored the threat of the #coronavirus putting public health at risk for personal gain, his reelection
Donald Trump will always put his interests first
That means the stock market, not us
Most Americans do not own stocks or have a 401k"
2020-05-4,rajeshkshitij,hyderabad,"#WestBengal - 445 new #COVID19 positive cases &amp; 11 deaths reported in state in the last 24 hours. Now total no. of cases in state rises to 15,173 including 9,702 Discharged, 4,880 Active cases &amp; 591 Fatalities - State Health Dept
#coronavirus @News18MP @News18CG"
2020-05-4,ShivadelicMe,"Here, There, Everywhere",@MridulRSingh #coronavirus has made this another @Fact of our lives!
2020-05-4,ReformAustin,"Texas, USA",.@bastaaustin's Eviction Solidarity Network has been tracking evictions in Travis County this year. Here is their dashboard: https://t.co/rquvRKwKu7 #COVID19 #coronavirus #txlege 1/
2020-05-4,jamesvgingerich,"Waterloo, Ontario Canada",#CoronaVirus: Investing in black lives and livelihoods. (McKinsey)  #COVIDー19 #COVID19 #CoronaVirusOutbreak #CoronaVirusPandemic https://t.co/IsRcFFuOzS https://t.co/FZsAYMbboE
2020-05-4,AdriaBalletBeat,New York City,"They canceled the hajj, but Trump wouldn’t cancel his rally #coronavirus #SocialDistancing #Mecca"
2020-05-4,cosmosbaby,"Chicago, IL","@nhdogmom @politicususa That's not going to help his poll numbers if testing sites close down and cases of #coronavirus keep going up.  His attempts to demolish the ACA and throw people off insurance won't help, either.

https://t.co/sfEgdMqd7f"
2020-05-4,Jerusalem_Post,Israel,"The struggle in #Israel against #coronavirus succeeded in doing what we have not: Bringing Israeli-Arabs closer to society at large. 

https://t.co/qgjTL4HF85"
2020-05-4,TheAfricaReport,"Paris, France","#Egypt VS #Coronavirus: Ahead of #COVID19, #Egyptian #COTTON farmers faced a 35% decrease in the amount of acres allotted for cotton plantation. Many farmers knew cotton would be of no use this year, and focused on food security, reports @MouradKamel94 

https://t.co/rk0sIZOwMK"
2020-05-4,mrsimonkp,"Mount Vernon, NY",@atrupar @MariBXBKgirl #CORONAVIRUS RETWEETED 🤣🤣😂😂🤣 God help us https://t.co/prVSN7QGVF
2020-05-5,debs_wb,,"Our Sikh &amp; Hindu communities have been key to supporting Londoners during #COVID19, from food provision to supporting the elderly.

Thanks to the London Gurdwaras Network and @HFBritain for talking to me this week about how we can continue working together for our city’s recovery"
2020-05-5,workoutfordays2,,"The 50 Push-Up Challenge: Day 27

https://t.co/9hvRRY1qly

#Health #inshape #LifeStyle #Workout #weightloss #Covid19 https://t.co/gTYKm20edw"
2020-05-5,J_theletter,,Sometimes I'll fill out an @UberEats or @DoorDash or @Postmates order so that the grand total can shock me off the couch and into my car to pick up the food myself. #UberEats #Doordash  #Postmates  #PandemicProblems #COVID19
2020-05-5,Taryn_E_Hughes,"New York, NY",I'm so adamant about holding hope and post-traumatic growth in the room of every #STS #CompassionFatigue #VicariousTrauma program I run. #gottahavehope #NYC #COVID19 #COVID #wewillsurvive #wewillthrive
