,id,cluster
853,1249,5
854,418,7
855,2364,6
856,1502,7
857,337,1
858,1516,3
859,214,1
860,336,5
861,334,7
862,2130,6
863,1383,1
864,894,0
865,1534,6
866,1672,0
867,1907,1
868,338,7
869,1916,7
870,265,5
871,1828,5
872,527,2
873,1322,1
874,459,4
875,546,5
876,2184,5
877,1668,1
878,1524,7
879,531,2
880,1071,7
881,268,1
882,206,5
883,198,7
884,644,3
885,2093,0
886,2393,7
887,2305,0
888,701,7
889,1026,0
890,218,1
891,2411,7
892,96,5
893,1371,0
894,208,1
895,2066,3
896,1421,1
897,1778,2
898,2004,6
899,1068,7
900,2359,1
901,2064,5
902,1787,1
903,469,1
904,1058,0
905,1696,3
906,47,6
907,618,1
908,1136,7
909,551,7
910,1927,7
911,2489,2
912,1800,0
913,602,1
914,1149,1
915,1745,1
916,1910,5
917,207,7
918,501,1
919,1812,3
920,1848,0
921,1389,0
922,2470,2
923,1713,1
924,942,5
925,2479,0
926,1096,2
927,2048,5
928,1235,2
929,1983,5
930,1797,6
931,1834,7
932,1796,6
933,2153,1
934,1653,0
935,1969,2
936,2339,5
937,1367,7
938,522,7
939,930,0
940,196,5
941,1694,1
942,2349,1
943,2139,2
944,1364,6
945,992,1
946,1435,1
947,346,7
948,1033,1
949,2379,7
950,2399,1
951,2220,7
952,1345,5
953,896,0
954,1036,7
955,754,5
956,641,6
957,1615,5
958,1785,5
959,2007,5
960,1308,0
961,2276,1
962,457,5
963,1232,1
964,962,6
965,2238,3
966,1153,0
967,1209,7
968,150,6
969,1734,6
970,1258,5
971,1166,4
972,1083,7
973,2428,2
974,794,5
975,456,7
976,2137,5
977,1300,7
978,1535,6
979,11,5
980,673,0
981,2316,4
982,57,7
983,17,2
984,245,7
985,1872,5
986,270,0
987,1160,1
988,2230,1
989,2164,0
990,547,0
991,2366,5
992,1139,7
993,2175,7
994,538,0
995,119,0
996,2416,0
997,664,5
998,960,1
999,170,1
1000,600,5
1001,2056,1
1002,1890,5
1003,963,6
1004,1010,0
1005,111,7
1006,2166,0
1007,1777,0
1008,932,1
1009,893,6
1010,656,6
1011,983,0
1012,1062,5
1013,506,6
1014,2265,7
1015,358,5
1016,907,0
1017,2189,7
1018,2464,5
1019,1350,0
1020,1194,1
1021,1168,5
1022,537,1
1023,1135,1
1024,1456,6
1025,629,0
1026,677,5
